,violent,crime_type,unique_id,gender,age,race,marital_stat,is_military,year_arrested,year_admitted,ntimes_arrested,age_arrest_first,violent_first,probation_yn,ntimes_incarc_adult,ntimes_incarc_juv,highest_grade_attend,has_GED,has_HSD,had_job,public_assist_prior,monthly_income_prior,family_makeup,child_caretaker_welfare,child_caretaker_substabuse,parents_servetime,family_servetime,commit_crime_juv,age_crime_first,forcible_sex,phys_abuse,age_drink_first,drink_frequency,used_heroin,used_meth,used_barbiturates,used_crack,used_cocaine,used_pcp,used_ecstacy,used_lsd,used_pot
2255,0,3,2256,male,24,black,married,0,2002,2002,8.0,17.0,0,1,2.0,0.0,10.0,0,0,1,0,6250.0,mother,0,0,0,1,1,17.0,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2256,0,3,2257,male,22,black,never_marr,0,2000,2003,2.0,15.0,0,1,0.0,5.0,12.0,0,1,1,0,3750.0,mother,0,0,1,0,1,12.0,0,0,10.0,10,0,0,0,0,0,0,1,0,1
2260,0,2,2261,male,29,white,never_marr,0,2002,2003,4.0,24.0,0,1,2.0,0.0,12.0,0,1,1,0,100.0,father,1,1,0,0,0,13.8279620853,0,0,21.0,0,0,0,0,0,0,0,0,0,0
2261,0,3,2262,male,25,black,never_marr,0,2002,2003,6.0,14.0,0,1,1.0,3.0,12.0,1,0,1,0,700.0,mother,1,1,1,0,1,14.0,0,0,15.0,9,0,0,0,0,1,0,0,0,1
2262,0,2,2263,male,28,white,married,0,2002,2003,3.0,16.0,0,1,2.0,0.0,18.0,0,1,1,0,3750.0,both,0,0,0,0,1,15.0,0,0,19.0,6,0,0,0,0,0,0,0,0,1
2265,0,3,2266,male,24,white,never_marr,0,2002,2003,3.0,17.0,0,1,3.0,1.0,10.0,0,0,1,0,7500.0,mother,0,0,1,0,1,15.0,0,0,21.0,10,0,0,0,0,0,0,0,0,1
2268,0,3,2269,male,29,other,never_marr,0,2002,2002,3.0,28.0,0,0,2.0,0.0,9.0,0,0,1,1,3750.0,grandparents,1,1,0,0,1,11.0,0,0,12.0,10,1,0,1,0,0,0,0,0,0
2269,0,3,2270,male,22,white,never_marr,0,2002,2003,0.0,18.9689288635,0,0,2.0,0.0,10.0,0,0,1,0,2250.0,mother,1,0,1,0,1,16.0,0,0,14.0,0,1,0,1,0,1,1,1,1,1
2270,0,3,2271,male,32,native_am,divorced,0,2002,2003,3.0,16.0,0,1,2.0,0.0,10.0,0,0,1,0,900.0,both,0,0,0,0,0,13.8279620853,0,0,24.0,6,0,0,0,0,0,0,1,0,1
2271,0,3,2272,male,22,white,never_marr,1,2002,2003,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,0,0,3750.0,both,0,0,0,0,0,13.8279620853,0,0,20.0,0,0,1,0,0,1,0,1,1,1
2272,1,1,2273,male,45,black,never_marr,0,1977,1978,0.0,18.9689288635,0,0,2.0,0.0,10.0,1,0,1,0,500.0,father,0,0,0,1,0,13.8279620853,0,0,13.0,8,0,0,0,0,0,0,0,0,1
2273,1,1,2274,male,46,white,divorced,0,1990,1991,2.0,14.0,0,1,1.0,0.0,10.0,1,0,0,0,0.0,mother,1,1,1,1,1,7.0,0,1,13.0,6,0,0,0,0,1,0,0,1,1
2274,1,1,2275,male,57,black,separated,0,1981,1982,2.0,18.9689288635,0,0,2.0,0.0,10.8733575272,0,0,0,0,0.0,family_unknown,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2275,1,1,2276,male,53,white,never_marr,1,1986,1987,2.0,18.9689288635,0,0,2.0,0.0,16.0,0,0,1,0,0.0,grandparents,0,0,0,0,0,13.8279620853,1,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2276,1,1,2277,male,36,black,never_marr,0,1986,1987,0.0,18.9689288635,0,0,2.0,0.0,7.0,1,0,0,0,0.0,mother,1,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2277,1,1,2278,male,35,black,never_marr,0,1987,1988,13.0,12.0,0,0,2.0,0.0,12.0,0,1,1,0,700.0,family_unknown,1,0,1,0,1,8.0,0,1,15.0,0,1,0,0,0,1,0,0,0,1
2278,1,1,2279,male,45,black,never_marr,0,1983,1983,2.0,20.0,1,1,2.0,0.0,11.0,0,0,1,0,100.0,both,0,0,0,0,0,13.8279620853,0,0,15.0,10,0,0,0,0,0,1,0,0,1
2279,1,1,2280,male,39,black,never_marr,0,1986,1987,3.0,15.0,0,1,2.0,0.0,9.0,1,0,1,1,7500.0,mother,1,1,0,0,1,13.8279620853,0,0,17.0,0,0,0,0,0,1,0,0,0,1
2280,1,1,2281,male,47,black,never_marr,0,1989,1989,1.0,25.0,0,0,2.0,0.0,10.0,0,0,0,0,7500.0,both,0,1,0,1,1,18.0,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2281,0,5,2282,male,32,white,never_marr,1,9999,9999,2.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,0,500.0,both,1,0,0,0,0,13.8279620853,0,1,12.0,0,0,0,1,0,1,0,0,1,1
2285,1,1,2286,male,30,asian,never_marr,0,1992,1993,2.0,18.9689288635,0,0,2.0,0.0,10.8733575272,0,0,0,0,0.0,family_unknown,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2286,1,1,2287,male,34,black,never_marr,1,1991,1993,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,0,900.0,mother,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2287,1,1,2288,male,38,white,divorced,0,1993,1994,7.0,6.0,0,1,1.0,0.0,11.0,1,0,1,0,300.0,both,0,0,1,0,1,8.0,1,0,8.0,0,1,1,0,0,1,1,0,1,1
2291,1,1,2292,male,29,white,never_marr,0,1994,1994,0.0,18.9689288635,0,0,2.0,0.0,11.0,1,0,1,0,700.0,mother,0,1,0,0,1,14.0,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2292,1,1,2293,male,58,black,never_marr,0,1993,1993,3.0,16.0,0,1,1.0,1.0,9.0,0,0,1,1,900.0,mother,1,1,0,0,1,16.0,0,0,21.0,10,0,0,0,0,0,0,0,0,1
2293,1,1,2294,male,35,black,never_marr,0,1992,1993,2.0,12.0,0,1,1.0,0.0,10.8733575272,0,0,0,0,0.0,family_unknown,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2294,1,1,2295,male,29,white,never_marr,0,1995,1996,0.0,18.9689288635,0,0,2.0,0.0,8.0,0,0,0,1,500.0,both,1,1,1,1,1,14.0,0,1,8.0,10,0,0,0,0,0,0,0,0,1
2298,0,4,2299,male,35,other,never_marr,0,2003,2003,2.0,13.0,1,0,2.0,0.0,12.0,0,1,0,0,500.0,mother,1,0,0,1,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2300,1,1,2301,male,25,white,never_marr,0,1997,1997,6.0,15.0,1,1,2.0,0.0,10.0,1,0,0,0,0.0,both,0,0,0,0,1,13.0,0,0,12.0,6,1,0,0,0,1,1,0,0,1
2301,1,1,2302,male,68,black,divorced,0,1996,1998,3.0,16.0,0,1,1.0,0.0,8.0,0,0,0,0,1690.21001409,both,0,0,0,1,0,13.8279620853,0,0,17.0,9,0,0,0,0,0,0,0,0,1
2302,0,2,2303,male,25,white,never_marr,0,1998,1998,6.0,14.0,0,1,3.0,2.0,11.0,1,0,1,0,700.0,mother,1,1,0,0,1,13.0,0,0,12.0,10,0,1,0,1,1,0,0,1,1
2303,1,1,2304,male,30,white,never_marr,0,1998,1998,8.0,17.0,0,1,0.0,1.0,12.0,1,0,0,0,100.0,both,1,1,0,1,1,11.0,0,0,24.0,0,0,0,0,0,0,1,0,0,1
2304,0,3,2305,male,36,black,never_marr,0,1998,1999,13.0,14.0,0,1,5.0,3.0,16.0,0,1,1,0,1350.0,both,0,0,0,1,1,19.0,0,0,18.0,0,0,0,0,1,1,0,0,1,0
2306,0,3,2307,male,48,white,never_marr,0,1999,2000,3.0,21.0,1,1,3.0,0.0,7.0,0,0,0,0,300.0,mother,0,0,0,0,0,13.8279620853,0,0,23.0,0,0,0,0,0,0,0,0,0,1
2310,1,1,2311,male,25,black,never_marr,0,1999,2000,0.0,18.9689288635,0,0,2.0,0.0,9.0,1,0,0,0,500.0,mother,1,0,1,1,1,15.0,0,0,18.0,9,0,0,0,0,0,1,0,0,1
2311,1,1,2312,male,33,black,never_marr,0,1995,2000,4.0,15.0,0,0,3.0,1.0,12.0,0,0,0,0,0.0,grandparents,0,0,0,0,1,14.0,0,0,17.0,0,0,0,0,0,0,0,0,0,1
2312,1,1,2313,male,21,other,never_marr,0,1999,2000,3.0,12.0,0,1,0.0,1.0,11.0,0,0,0,0,1100.0,mother,1,0,1,1,1,12.0,0,0,12.0,9,0,0,0,1,1,1,1,0,1
2315,0,3,2316,male,43,black,married,0,2000,2001,1.0,27.0,0,1,2.0,0.0,9.0,1,0,1,0,0.0,mother,0,0,0,0,0,13.8279620853,0,0,15.0,10,0,0,0,1,1,0,0,0,1
2316,1,1,2317,male,24,black,never_marr,0,1999,2001,6.0,11.0,1,1,0.0,1.0,8.0,0,0,0,0,3750.0,mother,1,1,1,1,1,9.0,0,1,18.0,9,0,0,0,0,0,0,0,1,1
2320,1,1,2321,male,26,other,never_marr,0,2000,2002,0.0,18.9689288635,0,0,2.0,0.0,10.8733575272,0,0,1,0,500.0,both,0,1,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,1,0,0,0,1
2321,1,1,2322,male,28,native_am,never_marr,0,2001,2002,4.0,16.0,0,1,2.0,2.0,12.0,0,0,1,0,500.0,both,1,1,1,0,1,15.0,0,0,17.0,9,0,0,1,0,0,0,0,0,1
2322,0,4,2323,male,56,black,never_marr,0,2001,2002,3.0,18.0,0,1,1.0,0.0,12.0,0,1,0,0,500.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2324,1,1,2325,male,38,white,divorced,1,2002,2002,4.0,22.0,0,1,4.0,0.0,12.0,0,1,0,0,0.0,mother,0,1,0,1,1,15.0,0,0,16.0,7,0,1,0,0,1,0,0,1,1
2325,1,1,2326,male,21,native_am,never_marr,0,2001,2002,4.0,13.0,0,1,0.0,4.0,9.0,0,0,1,1,2250.0,both,1,0,0,1,1,9.0,0,0,13.0,10,1,0,1,0,1,1,1,0,1
2326,1,1,2327,male,20,white,never_marr,0,2001,2002,4.0,15.0,1,1,0.0,3.0,12.0,0,0,0,0,700.0,both,1,1,1,1,1,14.0,0,0,17.0,10,0,0,0,0,1,0,1,0,1
2327,1,1,2328,male,52,white,married,0,2002,2003,0.0,18.9689288635,0,0,2.0,0.0,16.0,0,1,1,0,6250.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2329,1,1,2330,male,20,black,never_marr,0,2002,2002,2.0,14.0,0,1,1.0,1.0,11.0,0,0,1,1,700.0,mother,1,0,1,1,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2331,0,2,2332,male,36,white,divorced,0,2002,2003,4.0,20.0,0,1,3.0,0.0,9.0,1,0,1,1,300.0,both,0,0,0,1,1,13.0,0,0,13.0,10,0,0,0,1,1,1,0,1,1
2332,1,1,2333,male,49,white,married,1,2001,2002,1.0,18.9689288635,0,1,2.0,0.0,10.0,1,0,1,0,1750.0,mother,0,0,0,0,1,13.8279620853,1,0,18.0,10,0,0,0,0,0,0,0,0,1
2337,0,2,2338,male,27,black,never_marr,0,2001,2003,6.0,13.0,1,1,1.0,1.0,13.0,0,0,1,0,7500.0,mother,1,1,1,1,1,13.0,0,0,14.0,9,0,0,0,0,1,0,0,1,1
2339,0,3,2340,male,36,black,never_marr,0,2002,2003,1.0,18.0,0,0,2.0,0.0,14.0,0,1,1,0,0.0,mother,0,0,0,0,0,13.8279620853,0,0,22.0,7,0,0,0,0,0,0,0,0,1
2342,1,1,2343,male,47,black,married,1,1999,2000,4.0,23.0,0,1,1.0,0.0,12.0,0,1,0,0,700.0,mother,1,1,0,1,0,13.8279620853,0,0,13.0,9,0,0,0,0,0,0,0,0,0
2343,1,1,2344,male,48,white,never_marr,1,1998,1999,3.0,23.0,0,1,3.0,0.0,11.0,1,0,1,0,1750.0,both,0,0,0,0,1,15.0,0,0,18.0,10,1,1,1,0,1,0,0,1,1
2344,1,1,2345,male,34,white,separated,0,1998,1999,2.0,18.0,0,0,2.0,0.0,12.0,1,0,1,0,3750.0,mother,0,0,0,0,0,13.8279620853,1,0,17.0,9,1,1,0,0,1,1,0,1,1
2347,1,1,2348,male,21,white,never_marr,0,2002,2003,10.0,14.0,1,1,2.0,0.0,8.0,1,0,0,0,2250.0,grandparents,1,1,0,0,1,12.0,0,0,16.0,0,0,0,0,0,0,0,0,0,1
2348,1,1,2349,male,26,black,never_marr,0,1999,2000,1.0,16.0,1,0,0.0,1.0,13.0,0,1,0,0,3750.0,both,1,0,0,0,1,12.0,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2349,1,1,2350,male,20,white,never_marr,0,2002,2002,0.0,18.9689288635,0,0,2.0,0.0,12.0,1,0,1,0,300.0,mother,1,1,1,1,1,8.0,0,1,14.0,9,0,0,0,0,0,0,1,0,1
2350,0,3,2351,male,21,white,never_marr,0,2002,2002,2.0,14.0,0,1,2.0,0.0,13.0,0,0,1,0,2250.0,both,0,0,0,1,1,13.0,0,0,11.0,9,1,1,0,1,1,1,1,1,1
2351,1,1,2352,male,22,black,never_marr,0,1998,2000,8.0,18.9689288635,1,1,2.0,0.0,10.0,0,0,0,0,3750.0,mother,0,0,0,1,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2352,0,3,2353,male,20,white,never_marr,0,2000,2003,2.0,16.0,0,0,2.0,0.0,12.0,0,0,0,0,1100.0,both,0,0,0,0,1,15.0,0,0,15.0,7,1,1,1,1,1,0,1,1,1
2356,1,1,2357,male,45,black,widowed,0,1990,1990,1.0,18.0,0,1,2.0,0.0,12.0,0,1,1,0,1100.0,other_rel,0,0,0,1,0,13.8279620853,0,1,15.9622498484,0,0,0,0,0,0,0,0,0,1
2357,1,1,2358,male,23,black,never_marr,0,1999,1999,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,0,0,0.0,mother,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2358,1,1,2359,male,26,black,never_marr,0,1996,1997,2.0,13.0,0,1,0.0,1.0,11.0,1,0,0,1,2250.0,grandparents,1,1,1,0,1,11.0,0,0,15.0,6,0,0,0,0,0,0,0,0,1
2360,1,1,2361,male,35,black,never_marr,0,1993,1993,2.0,16.0,0,0,2.0,0.0,2.0,0,0,0,0,700.0,mother,1,0,0,1,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2361,1,1,2362,male,23,black,never_marr,0,2000,2001,2.0,17.0,1,1,0.0,1.0,11.0,1,0,0,0,3750.0,mother,0,1,1,0,1,13.0,0,0,15.9622498484,0,0,0,0,0,0,1,0,0,1
2363,1,1,2364,male,58,black,divorced,0,1994,1994,1.0,18.0,0,1,2.0,0.0,6.0,0,0,1,1,700.0,mother,0,0,0,1,0,13.8279620853,0,0,21.0,6,0,0,0,0,0,0,0,0,0
2364,0,4,2365,male,40,black,never_marr,0,2003,2003,3.0,24.0,0,1,2.0,0.0,12.0,1,0,1,0,900.0,both,0,0,1,0,0,13.8279620853,0,0,24.0,6,0,0,0,1,1,0,0,0,1
2367,1,1,2368,male,29,white,never_marr,0,1999,1999,2.0,16.0,0,1,1.0,0.0,11.0,0,0,1,0,1750.0,both,0,0,1,0,0,13.8279620853,1,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2368,0,3,2369,male,21,other,never_marr,0,2000,2001,8.0,14.0,0,1,2.0,0.0,11.0,0,0,0,0,7500.0,both,1,1,1,1,1,12.0,0,0,15.0,6,0,0,0,0,0,0,0,0,1
2370,0,3,2371,male,27,black,married,0,2002,2002,5.0,14.0,0,1,1.0,1.0,11.0,0,0,1,1,3750.0,both,1,0,0,1,1,14.0,0,1,14.0,6,0,0,0,0,0,0,0,0,1
2371,1,1,2372,male,38,black,separated,1,1994,1994,2.0,15.0,1,1,2.0,0.0,9.0,1,0,0,0,700.0,mother,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,1,0,0,1,0,0,0,0,0
2375,0,2,2376,male,24,white,never_marr,0,2002,2002,2.0,13.0,0,1,2.0,0.0,10.0,1,0,0,0,0.0,mother,0,1,1,1,1,13.0,0,0,13.0,9,1,1,1,1,1,1,0,1,1
2376,1,1,2377,male,47,white,never_marr,1,1977,1978,0.0,18.9689288635,0,0,2.0,0.0,8.0,1,0,1,0,900.0,both,0,1,0,0,0,13.8279620853,0,0,7.0,10,0,1,0,0,1,1,0,1,1
2378,0,3,2379,male,24,black,never_marr,0,1998,1999,1.0,14.0,1,1,2.0,0.0,10.0,1,0,0,1,6250.0,mother,1,0,0,0,1,13.0,0,0,16.0,6,0,0,1,0,0,1,0,0,1
2380,0,2,2381,male,25,black,never_marr,0,1999,1999,3.0,10.0,0,1,2.0,0.0,9.0,0,0,0,0,6250.0,mother,1,1,0,1,1,10.0,0,0,12.0,10,0,0,0,0,0,0,0,0,1
2384,1,1,2385,male,28,black,never_marr,0,1997,2000,1.0,18.0,1,0,1.0,0.0,11.0,1,0,1,0,1100.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2385,0,5,2386,male,25,black,never_marr,0,2001,2002,2.0,15.0,0,0,1.0,1.0,9.0,1,0,0,0,3750.0,both,0,1,0,0,1,14.0,0,0,16.0,9,0,0,0,0,0,1,1,0,1
2389,0,3,2390,male,44,black,divorced,1,2002,2003,6.0,30.0,0,1,2.0,0.0,10.0,1,0,1,0,300.0,mother,0,0,0,1,1,15.0,0,0,17.0,10,1,0,0,1,1,0,0,0,1
2391,1,1,2392,male,27,black,never_marr,0,1995,1995,3.0,12.0,1,0,1.0,1.0,10.0,0,0,0,0,3750.0,grandparents,1,0,0,0,1,15.0,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2392,0,4,2393,male,49,white,divorced,1,2002,2002,2.0,18.9689288635,0,1,2.0,0.0,12.0,0,1,1,0,0.0,both,0,0,0,0,1,12.0,0,0,8.0,10,0,1,1,1,1,1,0,1,1
2393,0,2,2394,male,43,black,separated,0,1991,1992,4.0,18.9689288635,0,1,1.0,0.0,15.0,0,1,1,1,500.0,mother,1,0,0,0,1,12.0,0,0,21.0,7,0,0,0,0,0,0,0,0,1
2394,0,3,2395,male,34,other,never_marr,0,2002,2003,2.0,18.9689288635,0,0,2.0,0.0,10.8733575272,0,0,0,0,0.0,family_unknown,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2397,1,1,2398,male,30,black,never_marr,0,1997,1997,2.0,12.0,0,1,2.0,0.0,12.0,0,1,1,0,700.0,both,1,0,0,0,1,13.0,0,0,14.0,0,0,0,0,0,0,0,0,0,0
2398,1,1,2399,male,30,black,never_marr,0,1996,1997,0.0,18.9689288635,0,0,2.0,0.0,10.0,1,0,1,0,700.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2399,1,1,2400,male,45,black,married,1,1998,1999,1.0,23.0,0,0,2.0,0.0,14.0,0,1,1,0,3750.0,mother,0,0,0,0,1,29.0,1,0,15.9622498484,0,0,0,0,0,1,0,0,0,0
2403,1,1,2404,male,36,white,never_marr,0,1999,2001,7.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,0,3750.0,mother,0,0,0,0,1,13.0,0,0,13.0,10,0,1,1,0,1,0,0,0,1
2404,0,2,2405,male,47,black,separated,1,2001,2001,6.0,31.0,0,1,5.0,0.0,12.0,0,1,0,1,1100.0,mother,0,1,0,1,0,13.8279620853,0,0,16.0,0,1,1,0,1,1,1,0,1,1
2405,0,5,2406,male,19,black,never_marr,0,2000,2000,0.0,18.9689288635,0,0,2.0,0.0,10.0,1,0,0,0,0.0,mother,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2408,1,1,2409,male,18,black,never_marr,0,2002,2002,2.0,12.0,1,1,0.0,1.0,10.0,0,0,0,0,0.0,mother,1,1,1,0,1,9.0,0,1,17.0,0,0,0,0,0,0,0,1,0,1
2409,1,1,2410,male,21,black,never_marr,0,2000,2001,1.0,12.0,1,1,2.0,0.0,12.0,0,1,1,0,300.0,father,1,1,0,1,0,13.8279620853,0,1,13.0,7,0,0,0,0,0,0,1,1,1
2411,0,2,2412,male,26,white,married,0,1996,2003,0.0,18.9689288635,0,0,2.0,0.0,11.0,1,0,1,0,700.0,both,0,0,1,0,1,16.0,0,0,15.0,9,1,0,0,1,1,0,0,1,1
2413,1,1,2414,male,21,black,never_marr,0,1999,1999,3.0,11.0,0,1,0.0,2.0,8.0,1,0,0,1,500.0,mother,1,0,0,1,1,11.0,0,0,13.0,10,0,0,0,0,0,0,0,0,1
2414,1,1,2415,male,27,white,divorced,0,1997,1998,1.0,19.0,0,0,2.0,0.0,12.0,0,1,0,0,1350.0,both,0,0,0,1,1,15.0,0,0,15.0,0,1,1,1,1,1,1,0,1,1
2415,0,2,2416,male,25,white,married,0,2000,2000,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,0,1750.0,father,1,0,0,1,0,13.8279620853,0,0,21.0,7,0,0,0,0,0,0,0,0,0
2417,1,1,2418,male,20,black,never_marr,0,2000,2001,2.0,13.0,0,1,2.0,0.0,11.0,0,0,1,0,1100.0,mother,1,0,0,0,1,13.0,0,0,12.0,10,0,0,1,0,0,1,0,1,1
2418,1,1,2419,male,27,white,never_marr,0,2001,2002,1.0,19.0,0,0,2.0,0.0,11.0,0,0,1,1,3750.0,both,1,1,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2419,1,1,2420,male,20,black,separated,0,2000,2000,0.0,18.9689288635,0,0,2.0,0.0,10.0,1,0,0,1,1100.0,grandparents,1,1,1,0,1,13.0,0,0,13.0,9,0,0,0,0,0,0,0,0,1
2422,1,1,2423,male,23,black,never_marr,0,2000,2000,2.0,18.9689288635,0,0,2.0,0.0,10.8733575272,0,0,0,0,0.0,family_unknown,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2424,0,2,2425,male,24,white,never_marr,0,1999,2000,8.0,15.0,0,1,2.0,1.0,10.0,1,0,1,0,1100.0,mother,1,1,0,0,1,14.0,0,0,13.0,10,0,0,0,1,1,0,1,1,1
2425,0,3,2426,male,25,black,never_marr,0,2002,2003,10.0,13.0,0,1,1.0,0.0,10.0,0,0,0,0,2250.0,mother,1,1,1,0,1,13.0,0,0,16.0,9,0,0,0,0,0,0,1,0,1
2426,0,4,2427,male,21,black,never_marr,0,2002,2002,5.0,13.0,1,1,0.0,2.0,10.0,0,0,0,0,900.0,mother,0,0,0,0,0,13.8279620853,0,0,16.0,9,0,0,0,0,0,0,0,0,1
2427,1,1,2428,male,29,white,never_marr,0,1999,1999,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,1,500.0,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2432,1,1,2433,male,54,white,divorced,0,1999,2000,1.0,34.0,0,0,2.0,0.0,8.0,0,0,1,0,500.0,both,0,1,0,1,0,13.8279620853,0,1,11.0,9,0,0,0,0,0,0,0,0,0
2433,0,2,2434,male,20,white,never_marr,0,2001,2001,0.0,18.9689288635,0,0,2.0,0.0,11.0,0,0,0,0,0.0,foster,1,1,0,0,1,12.0,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2434,1,1,2435,male,37,black,never_marr,0,1996,1998,1.0,12.0,0,0,2.0,0.0,12.0,0,1,1,0,500.0,both,0,0,1,0,0,13.8279620853,0,0,18.0,0,0,0,0,0,0,0,0,0,0
2435,1,1,2436,male,20,black,never_marr,0,1999,1999,6.0,9.0,0,1,0.0,1.0,12.0,0,0,1,0,900.0,grandparents,1,1,1,0,1,8.0,0,1,15.9622498484,0,0,0,0,0,0,0,0,0,1
2436,0,4,2437,male,22,white,never_marr,0,2003,2003,0.0,18.9689288635,0,0,2.0,0.0,8.0,0,0,1,1,0.0,mother,1,1,0,0,0,13.8279620853,0,0,12.0,7,0,0,0,0,0,0,1,0,1
2437,1,1,2438,male,21,black,never_marr,0,2001,2001,5.0,16.0,1,1,2.0,0.0,11.0,0,0,1,0,500.0,mother,0,0,0,1,1,12.0,0,0,11.0,9,0,0,0,0,1,0,0,1,1
2438,0,2,2439,male,21,white,never_marr,0,2001,2002,3.0,16.0,0,1,2.0,0.0,10.0,0,0,0,0,500.0,mother,1,0,0,1,1,14.0,0,0,15.0,0,0,0,0,0,1,0,0,1,1
2439,1,1,2440,male,20,black,never_marr,0,2001,2002,2.0,14.0,0,1,0.0,1.0,11.0,0,0,1,0,1690.21001409,mother,1,0,0,0,1,14.0,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2442,1,1,2443,male,21,black,never_marr,0,2001,2002,1.0,11.0,0,0,2.0,0.0,12.0,0,1,1,0,100.0,grandparents,1,1,1,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2446,1,1,2447,male,22,asian,never_marr,0,1999,2000,1.0,15.0,0,1,2.0,0.0,8.0,0,0,0,1,0.0,mother,1,0,0,1,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
2450,0,3,2451,male,25,black,never_marr,0,2001,2003,3.0,15.0,0,1,2.0,0.0,12.0,0,1,1,0,500.0,mother,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
2453,1,1,2454,male,23,native_am,never_marr,0,1997,1998,7.0,13.0,0,1,1.0,4.0,10.0,1,0,0,0,700.0,other_rel,0,1,0,1,1,13.0,0,0,12.0,10,1,1,1,0,1,1,0,1,1
2456,0,2,2457,male,24,white,never_marr,0,2001,2001,5.0,19.0,0,0,2.0,0.0,14.0,0,1,1,1,500.0,mother,0,1,0,0,1,11.0,0,0,15.0,9,1,1,0,1,1,0,1,1,1
2457,1,1,2458,male,26,white,never_marr,0,1998,2000,0.0,18.9689288635,0,0,2.0,0.0,11.0,1,0,1,0,1100.0,mother,0,1,0,1,1,16.0,0,0,12.0,10,0,0,0,0,1,0,0,1,1
2458,1,1,2459,male,21,native_am,never_marr,0,1998,1999,1.0,15.0,0,0,2.0,0.0,10.0,0,0,1,1,100.0,both,1,0,1,0,1,14.0,0,0,15.0,0,0,0,0,0,0,0,0,0,1
2460,1,1,2461,male,20,white,never_marr,0,2001,2001,20.0,11.0,1,1,2.0,15.0,8.0,1,0,1,0,2250.0,father,1,1,0,0,1,11.0,0,0,15.0,9,0,0,0,0,0,0,0,1,1
2461,0,2,2462,male,25,white,never_marr,0,2002,2002,0.0,18.9689288635,0,0,2.0,0.0,14.0,0,1,1,0,900.0,both,0,1,1,0,0,13.8279620853,1,1,19.0,0,0,0,0,0,0,0,0,0,0
2462,1,1,2463,male,20,black,never_marr,0,2001,2002,3.0,13.0,1,0,2.0,0.0,12.0,1,0,0,1,3750.0,both,1,1,1,0,0,13.8279620853,0,1,16.0,9,0,0,0,0,0,0,0,0,1
2467,1,1,2468,male,21,white,never_marr,0,2003,2003,4.0,18.0,0,1,2.0,0.0,12.0,0,1,1,0,500.0,both,0,0,0,1,1,17.0,0,0,18.0,7,1,0,0,0,0,0,1,0,1
