,violent,crime_type,unique_id,gender,age,race,marital_stat,is_military,year_arrested,year_admitted,ntimes_arrested,age_arrest_first,violent_first,probation_yn,ntimes_incarc_adult,ntimes_incarc_juv,highest_grade_attend,has_GED,has_HSD,had_job,public_assist_prior,monthly_income_prior,family_makeup,child_caretaker_welfare,child_caretaker_substabuse,parents_servetime,family_servetime,commit_crime_juv,age_crime_first,forcible_sex,phys_abuse,age_drink_first,drink_frequency,used_heroin,used_meth,used_barbiturates,used_crack,used_cocaine,used_pcp,used_ecstacy,used_lsd,used_pot
54,1,1,55,male,23,other,never_marr,0,2001,2001,2.0,17.0,0,1,2.0,0.0,9.0,0,0,0,1,0.0,both,1,0,0,0,1,15.0,0,0,17.0,0,0,0,0,0,1,0,1,0,1
56,1,1,57,male,47,black,divorced,1,1996,1997,6.0,27.0,0,1,2.0,0.0,12.0,0,1,1,0,1750.0,mother,1,0,0,1,0,13.8279620853,0,0,18.0,10,1,0,0,1,1,0,0,0,1
60,0,3,61,male,38,black,never_marr,0,2001,2001,4.0,19.0,0,1,2.0,0.0,12.0,0,1,1,1,2250.0,mother,1,0,0,1,1,18.0,0,0,15.9622498484,0,0,0,0,0,1,0,0,0,1
63,0,4,64,male,41,black,never_marr,0,2003,2003,20.0,16.0,0,1,4.0,0.0,12.0,0,1,1,0,1350.0,both,0,1,1,1,1,13.0,0,0,16.0,10,1,0,0,1,1,1,0,1,1
64,1,1,65,male,22,white,never_marr,0,2002,2002,4.0,14.0,0,1,1.0,0.0,11.0,0,0,0,0,0.0,grandparents,0,1,0,0,1,11.0,0,0,15.9622498484,0,0,0,0,1,1,1,0,0,1
66,1,1,67,male,41,white,never_marr,0,2000,2001,0.0,18.9689288635,0,0,2.0,0.0,11.0,0,0,1,0,2250.0,both,0,0,0,0,0,13.8279620853,0,0,17.0,9,0,0,0,0,0,0,0,0,0
69,1,1,70,male,71,white,divorced,1,1999,2001,2.0,30.0,1,1,2.0,0.0,10.0,1,0,0,0,900.0,mother,0,0,1,0,0,13.8279620853,0,1,17.0,0,0,0,0,0,0,0,0,0,0
74,0,3,75,male,30,white,never_marr,0,2001,2002,0.0,18.9689288635,0,0,2.0,0.0,6.0,0,0,1,0,1690.21001409,both,0,0,0,0,1,27.0,0,0,15.9622498484,0,1,0,0,0,0,0,0,0,1
75,0,2,76,male,50,race_unknown,divorced,0,1999,1999,0.0,18.9689288635,0,0,2.0,0.0,11.0,0,0,1,0,1350.0,mother,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
77,1,1,78,male,32,white,divorced,0,2001,2002,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,0,1,0,300.0,both,0,0,0,0,1,15.0,1,0,15.0,10,0,0,1,1,1,0,0,1,1
78,1,1,79,male,49,white,divorced,1,1999,1999,20.0,18.0,0,1,2.0,0.0,14.0,0,1,1,0,300.0,both,0,0,0,0,1,12.0,0,0,18.0,8,0,0,0,0,1,0,0,1,1
80,1,1,81,male,37,black,divorced,0,1991,1997,0.0,18.9689288635,0,0,2.0,0.0,11.0,1,0,1,0,1690.21001409,both,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
81,0,3,82,male,25,black,never_marr,0,2002,2002,8.0,10.0,0,1,2.0,0.0,11.0,0,0,0,0,6250.0,grandparents,1,1,1,1,1,9.0,0,0,5.0,9,0,0,0,0,0,1,1,1,1
84,1,1,85,male,27,black,never_marr,0,1997,1998,4.0,9.0,0,1,2.0,0.0,12.0,0,1,0,0,0.0,mother,1,0,0,1,1,15.0,0,0,16.0,8,0,0,0,0,0,0,0,0,1
